MapWidth: 800
MapHeight: 600
NumObstacles: 12
Obstacle: 150.0,150.0
Obstacle: 150.0,300.0
Obstacle: 150.0,450.0
Obstacle: 350.0,150.0
Obstacle: 350.0,300.0
Obstacle: 350.0,450.0
Obstacle: 550.0,150.0
Obstacle: 550.0,300.0
Obstacle: 550.0,450.0
Obstacle: 750.0,150.0
Obstacle: 750.0,300.0
Obstacle: 750.0,450.0
NumAutonomousRobots: 4
AutonomousRobot: 200.0,200.0,0,25,20.0
AutonomousRobot: 50.0,50.0,90,45,20.0
AutonomousRobot: 600.0,550.0,180,50,20.0
AutonomousRobot: 500.0,500.0,45,70,20.0
ControlledRobot: 100.0,100.0,0,30,20.0
